Index,brand,name,price,product_link,rating,product_type
0,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Bronzer,14.99,https://well.ca/products/maybelline-face-studio-master_88837.html,5,bronzer
1,maybelline,Maybelline Fit Me Bronzer,10.29,https://well.ca/products/maybelline-fit-me-bronzer_31265.html,4.5,bronzer
2,maybelline,Maybelline Facestudio Master Contour Kit,15.99,https://well.ca/products/maybelline-facestudio-master-contour_120303.html?cat=328,,bronzer
3,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush,14.99,https://well.ca/products/maybelline-face-studio-master_88831.html,,blush
4,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush ,14.99,https://well.ca/products/maybelline-face-studio-master_88836.html,5,blush
5,maybelline,Maybelline Fit Me Blush,10.29,https://well.ca/products/maybelline-fit-me-blush_31269.html,4.8,blush
6,maybelline,Maybelline Dream Bouncy Blush,11.99,https://well.ca/products/maybelline-dream-bouncy-blush_50689.html,4.5,blush
7,maybelline,Maybelline Color Sensational Lipliner,8.29,https://well.ca/products/maybelline-color-sensational_14541.html,3.5,lip_liner
8,maybelline,Maybelline Dream Smooth Mousse Foundation,14.79,https://well.ca/products/maybelline-dream-smooth-mousse_28944.html,3.8,foundation
9,maybelline,Maybelline Fit Me Shine-Free Foundation Stick,10.99,https://well.ca/products/maybelline-fit-me-shine-free_79864.html,4.7,foundation
10,maybelline,Maybelline Dream Matte Mousse Foundation,14.79,https://well.ca/products/maybelline-dream-matte-mousse_3747.html,4.4,foundation
11,maybelline,Maybelline Mineral Power Natural Perfecting Powder Foundation,14.99,https://well.ca/products/maybelline-mineral-power-natural_5900.html?cat=582,3.9,foundation
12,maybelline,Maybelline Dream Velvet Foundation,18.49,https://well.ca/products/maybelline-dream-velvet-foundation_112738.html?cat=581,2.5,foundation
13,maybelline,Maybelline Superstay Better Skin Foundation ,14.99,https://well.ca/products/maybelline-superstay-better-skin_112548.html,3,foundation
14,maybelline,Maybelline Dream Wonder Liquid Touch Foundation,14.99,https://well.ca/products/maybelline-dream-wonder-liquid-touch_96732.html,,foundation
15,maybelline,Maybelline Dream Liquid Mousse,14.79,https://well.ca/products/maybelline-dream-liquid-mousse_12303.html,4.4,foundation
16,maybelline,Maybelline FIT ME! Matte + Poreless Foundation,10.99,https://well.ca/products/maybelline-fit-me-matte-poreless_100974.html,4.4,foundation
17,maybelline,Maybelline Fit Me Foundation with SPF,10.99,https://well.ca/products/maybelline-fit-me-foundation-with_31187.html,3.8,foundation
18,maybelline,Maybelline Expert Wear Eye Shadow Quad ,8.99,https://well.ca/products/maybelline-expert-wear-eye-shadow_79611.html,4,eyeshadow
19,maybelline,Maybelline Eyestudio Color Tattoo Concentrated Crayon,10.99,https://well.ca/products/maybelline-eyestudio-color-tattoo_114535.html,3,eyeshadow
20,maybelline,Maybelline The Nudes Eye Shadow Palette,17.99,https://well.ca/products/maybelline-the-nudes-eye-shadow_95144.html,2,eyeshadow
21,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow Leather,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_95143.html,4.3,eyeshadow
22,maybelline,Maybelline The Nudes Eyeshadow Palette in The Blushed Nudes,17.99,https://well.ca/products/maybelline-the-nudes-eyeshadow_107498.html,4.5,eyeshadow
23,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_50692.html,4.5,eyeshadow
24,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow ,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_67270.html,4,eyeshadow
25,maybelline,Maybelline Line Express Eyeliner,7.29,https://well.ca/products/maybelline-line-express-eyeliner_9738.html,4.5,eyeliner
26,maybelline,Maybelline Unstoppable Eyeliner,8.99,https://well.ca/products/maybelline-unstoppable-eyeliner_3737.html,4.3,eyeliner
27,maybelline,Maybelline Color Show Kohl Liner,5.99,https://well.ca/products/maybelline-color-show-kohl-liner_101020.html,,eyeliner
28,maybelline,Maybelline Eye Studio Master Graphic in Striking Black,11.99,https://well.ca/products/maybelline-eye-studio-master-graphic_112723.html,,eyeliner
29,maybelline,Maybelline EyeStudio Master Precise Ink Pen Eyeliner,11.99,https://well.ca/products/maybelline-eyestudio-master-precise_40535.html,4,eyeliner
30,maybelline,Maybelline Line Stiletto Ultimate Precision Liquid Eyeliner,10.29,https://well.ca/products/maybelline-line-stiletto-ultimate_17295.html,4,eyeliner
31,maybelline,Maybelline Liquid Eyeliner,10.99,https://well.ca/products/maybelline-liquid-eyeliner_3739.html,4.2,eyeliner
32,maybelline,Maybelline Eye Studio Lasting Drama Gel Eyeliner,11.99,https://well.ca/products/maybelline-eye-studio-lasting-drama_23247.html,4.4,eyeliner
33,maybelline,Maybelline Color Show Nail Lacquer Jewels ,4.49,https://well.ca/products/maybelline-color-show-nail-lacquer_96730.html,3,nail_polish
34,maybelline,Maybelline Color Show Nail Lacquer Veils ,4.49,https://well.ca/products/maybelline-color-show-nail-lacquer_96731.html,4,nail_polish
35,maybelline,Maybelline Color Show Nail Lacquer ,4.49,https://well.ca/products/maybelline-color-show-nail-lacquer_78068.html,3.3,nail_polish
36,maybelline,Maybelline Color Sensational Vivid Matte Liquid Lip Colour,12.99,https://well.ca/products/maybelline-color-sensational-vivid_114538.html,,lipstick
37,maybelline,Maybelline Color Sensational Rebel Bloom Lipcolour ,9.99,https://well.ca/products/maybelline-color-sensational-rebel_101920.html,3,lipstick
38,maybelline,Maybelline Lip Studio Color Blur ,11.99,https://well.ca/products/maybelline-lip-studio-color-blur_106565.html,,lipstick
39,maybelline,Maybelline Color Sensational The Buffs Lipcolour,9.99,https://well.ca/products/maybelline-color-sensational-the_88857.html,4.8,lipstick
40,maybelline,Maybelline Color Sensational Vivids Lipcolour,9.99,https://well.ca/products/maybelline-color-sensational-vivids_66103.html,5,lipstick
41,maybelline,Maybelline Color Sensational Creamy Mattes Lipcolour ,9.99,https://well.ca/products/maybelline-color-sensational-creamy_100322.html,5,lipstick
42,maybelline,Maybelline Color Sensational Lipcolour,9.99,https://well.ca/products/maybelline-color-sensational_14537.html,4.2,lipstick
43,maybelline,Maybelline Volum'Express Falsies Big Eyes Mascara,12.99,https://well.ca/products/maybelline-volumexpress-falsies-big_78175.html,4.5,mascara
44,maybelline,Maybelline Define-A-Lash Lengthening & Defining Mascara,10.79,https://well.ca/products/maybelline-define-a-lash-lengthening_3744.html,4.4,mascara
45,maybelline,Maybelline Great Lash - Clear,7.79,https://well.ca/products/maybelline-great-lash-clear_3752.html,3.8,mascara
46,maybelline,Maybelline Great Lash Big Mascara,7.79,https://well.ca/products/maybelline-great-lash-big-mascara_15818.html,4,mascara
47,maybelline,Maybelline Great Lash Mascara,7.79,https://well.ca/products/maybelline-great-lash-mascara_3735.html,4.2,mascara
48,maybelline,Maybelline Volum' Express Colossal Mascara,9.79,https://well.ca/products/maybelline-volum-express-colossal_7663.html,4.5,mascara
49,maybelline,Maybelline Illegal Length Fiber Extensions Mascara,11.49,https://well.ca/products/maybelline-illegal-length-fiber_84357.html,4,mascara
50,maybelline,Maybelline Volum' Express The Rocket Mascara,10.99,https://well.ca/products/maybelline-volum-express-the-rocket_84350.html,,mascara
51,maybelline,Maybelline Great Lash Lots of Lashes Mascara,7.79,https://well.ca/products/maybelline-great-lash-lots-of-lashes_50739.html,4.2,mascara
52,maybelline,Maybelline Lash Stiletto Ultimate Length Mascara,10.99,https://well.ca/products/maybelline-lash-stiletto-ultimate_17287.html,4,mascara
53,maybelline,Maybelline Volum'Express the Falsies Mascara,9.79,https://well.ca/products/maybelline-volumexpress-the-falsies_26311.html,4,mascara
54,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Bronzer,14.99,https://well.ca/products/maybelline-face-studio-master_88837.html,5,bronzer
55,maybelline,Maybelline Fit Me Bronzer,10.29,https://well.ca/products/maybelline-fit-me-bronzer_31265.html,4.5,bronzer
56,maybelline,Maybelline Facestudio Master Contour Kit,15.99,https://well.ca/products/maybelline-facestudio-master-contour_120303.html?cat=328,,bronzer
57,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush,14.99,https://well.ca/products/maybelline-face-studio-master_88831.html,,blush
58,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush ,14.99,https://well.ca/products/maybelline-face-studio-master_88836.html,5,blush
59,maybelline,Maybelline Fit Me Blush,10.29,https://well.ca/products/maybelline-fit-me-blush_31269.html,4.8,blush
60,maybelline,Maybelline Dream Bouncy Blush,11.99,https://well.ca/products/maybelline-dream-bouncy-blush_50689.html,4.5,blush
61,maybelline,Maybelline Color Sensational Lipliner,8.29,https://well.ca/products/maybelline-color-sensational_14541.html,3.5,lip_liner
62,maybelline,Maybelline Dream Smooth Mousse Foundation,14.79,https://well.ca/products/maybelline-dream-smooth-mousse_28944.html,3.8,foundation
